Class,File,Surface Area,Volume,Compactness,Bounding Box Volume,Rectangularity,Diameter,Convexity,Eccentricity
Insect,D00309.obj,3.6691732813579514,0.1995679505141098,0.09118623848530162,3.4118259560472493,0.05849300435750189,1.8831273357167015,0.14755878998076766,9.336228455655837
Insect,D00136.obj,2.979007697400474,0.11604711499774535,0.057611103447692484,0.8395400430012355,0.1382270160490422,1.4499913559391775,0.29203780345202884,6.265592728014238
Insect,D00081.obj,1.76177268603013,0.017226275640561128,0.006137415702924463,1.2871916872739941,0.013382836302371418,1.5859087882437486,0.043942425721229056,6.578231620014404
Insect,D00732.obj,2.255342309368186,0.030536805428673125,0.009193104052194048,2.1534163898094576,0.014180632028799194,1.7255821410247627,0.04189617394541156,6.260951347874327
Insect,D00109.obj,5.877323276208467,0.030099403871403686,0.0005046954904321227,3.7207671820192525,0.008089569274008916,1.9592734359467485,0.026657456044681352,2.4381707878876107
Insect,D00294.obj,4.450281170493139,0.016436312486807544,0.00034665606281890127,0.7810148278864119,0.021044814899721705,1.3836613335055254,0.06305373303368242,41.42479743240018
Insect,D00082.obj,3.318295891277889,0.1676632195032933,0.08701270063771277,1.1669249768137673,0.14367951910763765,1.3778082218258145,0.3410136212634171,13.770757831898434
Insect,D00333.obj,1.7616773294419792,0.07031608301978041,0.10227809190368174,1.090720354010617,0.06446756289201509,1.9773768935869624,0.16188971052622003,32.12664308838412
Insect,D00695.obj,1.0046321624233991,0.020984493339177967,0.0491165796795499,0.7259756613191618,0.028905229826916363,1.6387739771771344,0.06685766528623065,23.922601811905118
Insect,D00291.obj,1.6380024514977884,0.05183145404517226,0.06913460981229794,0.5012744456337214,0.1033993543789089,1.7018544284563117,0.2706831268748429,41.97613852314585
Insect,D00734.obj,3.077265561955399,0.09274542898502587,0.033384315211168455,3.0075925869719753,0.030837098544122084,1.9800162134335433,0.07451601508584677,3.3529640341093354
Insect,D00668.obj,3.379463007476826,0.12450091114538887,0.04542075430704824,2.3068245038235715,0.053970690418377334,1.688196606092243,0.19460184223415392,6.548076844076799
Insect,D00746.obj,1.9166352158840738,0.07761760022506888,0.09677304469489661,2.6501023309045233,0.029288529472964432,1.9789872270344597,0.05438811792995376,9.600303323577227
Insect,m4.obj,1.6289089956930936,0.04369388841019403,0.04995779927607582,1.2196149919014632,0.035825968605118795,1.932051262926723,0.08135286004981104,15.414115709603184
Insect,D00752.obj,3.250354418067272,0.08102113722927821,0.021620059561911827,2.0473408912615634,0.0395738382284512,1.8255306640798221,0.11973665044352834,12.616345072795612
Insect,m13.obj,1.7018444088832565,0.03619905329342699,0.030066802317747866,0.8946306093000509,0.04046256959813697,1.9997351730200599,0.15914973990655615,48.35517234360618
Insect,D00430.obj,5.504392904738487,0.19833894929524412,0.02667719177371435,1.960933984896154,0.1011451434994369,1.7294760745962947,0.23662379116332913,10.559975916997356
Insect,D00814.obj,4.1828328009862625,0.027861260239566907,0.001199616338415562,1.4326629663774655,0.01944718394586202,1.9811385254494938,0.05420392620311381,30.5400949584413
Insect,m12.obj,2.346688881939247,0.05420210291012142,0.025710948536871305,2.014003908739378,0.026912610583783844,1.9744226917098051,0.08769817533813672,10.974178576449054
Insect,D00753.obj,3.777846589962213,0.06731032200183547,0.009503481971415095,1.3006165254301854,0.051752627070129106,1.6753373068256376,0.10169028932027485,3.693853665367347
Insect,m7.obj,2.978356993651341,0.17639878308897494,0.13320277924184548,1.3769752623226545,0.128105992834925,1.6618886323543012,0.34004741739131816,9.080298951265732
Insect,D00989.obj,2.1909261864764593,0.10257723669474982,0.11315431658140414,0.9202269567610538,0.11146949775932832,1.7825598087204102,0.25815185094981946,14.330612901495357
Insect,D00786.obj,2.000538394183692,0.051174093394437785,0.03699235805468804,1.4684111508744366,0.03484997601929384,1.8586934462350424,0.07616212105938325,8.381607064309035
