Class,File,Surface Area,Volume,Compactness,Rectangularity,Diameter,Convexity,Eccentricity,A3,D1,D2,D3,D4
Insect,D00309.obj,-0.07772359726280965,0.4898471516678879,1.6200907531857198,-0.25936057233158494,0.6338861251437063,-0.24496580335181772,0.0001206179233538572,0.978287463256572,0.39172659549026423,0.3935596821770738,0.1258234417281446,0.3153501146299674
Insect,D00136.obj,-0.1892425553781788,0.12488753531538921,0.9091966662608385,0.1618429394088369,0.4733972757100392,0.13581976483270247,7.610501101072081e-05,0.9614573274820829,0.32350217766015094,0.32593157536754985,0.09640264771783322,0.28528506916609236
Insect,D00081.obj,-0.3859269212823671,-0.3069282552769282,-0.18066761005508356,-0.4976598977628355,0.5237584402102571,-0.5180547121823786,8.063712384630851e-05,0.9745970910339938,0.31801333744307164,0.3260369421154617,0.09473155459705662,0.2673372110042505
Insect,D00732.obj,-0.3061745090620463,-0.2487654529667663,-0.11596881505253953,-0.49344545583906985,0.5755112770350377,-0.5234477663456273,7.603772808768985e-05,0.9731005123431816,0.26574415422291814,0.27168950244781986,0.059653142830363104,0.21264508882804295
Insect,D00109.obj,0.27907568759309725,-0.25067675933177247,-0.2999304957553989,-0.5256221514313364,0.6621003594381141,-0.5636105811020237,2.0621484981436305e-05,0.9666395387400851,0.43302762533016737,0.4347853833400725,0.18289399081672844,0.38332316989666504
Insect,D00294.obj,0.04849008246396494,-0.31038014423067367,-0.30327670104885096,-0.4571846698943461,0.44882016948867665,-0.4676853897536295,0.0005857840273044406,0.9703445589404156,0.3550773283421222,0.35338207445785136,0.09826558060718625,0.2361032137256879
Insect,D00082.obj,-0.1344193842993006,0.3504335751926403,1.5317234726346598,0.19064637457199504,0.4466514298712334,0.26489930493020347,0.00018490227191100706,0.9770848094204979,0.261031567227351,0.2590269883563962,0.05916669023834547,0.19315705639932476
Insect,D00333.obj,-0.38594232927663286,-0.07494260027768437,1.8549411268128524,-0.22779932284158014,0.668808190749984,-0.207195558446368,0.00045099502399077615,0.957724432637681,0.4644175823870298,0.4664798892495364,0.1872679370186297,0.3255351174833022
Insect,D00695.obj,-0.5082678845268483,-0.2905060334328039,0.7293401530628691,-0.41566118072288033,0.5433464535435535,-0.45765983331245047,0.0003320666317650192,0.9682378459444754,0.2644522045309472,0.2736529180931724,0.06094642082189552,0.1908864226414395
Insect,D00291.obj,-0.4059260749950101,-0.15571457839887423,1.1531865273906008,-0.022137937634175757,0.5667195038561864,0.07953786991612442,0.0005937764431493445,0.9783170230311341,0.3198958102832495,0.31921439836286025,0.0642476825142276,0.20132759015169216
Insect,D00734.obj,-0.17336576445074045,0.023066542565595177,0.3962372847651514,-0.40545587597719124,0.6697861316859524,-0.4374756625478661,3.388261889406615e-05,0.9618457279523253,0.3228594530344393,0.3427062275259958,0.10978914164885524,0.30046738594231126
Insect,D00668.obj,-0.12453582413926878,0.16182794880253273,0.6510875890545519,-0.2832501832007944,0.5616589032611848,-0.12098021574948427,8.019999062143443e-05,0.9662368476485838,0.27833601459758944,0.2846299427550807,0.06893762032709562,0.2381582674317225
Insect,D00746.obj,-0.3609037842528538,-0.04303728106531719,1.7383814911007716,-0.4136363590245956,0.6694048637909216,-0.4905242858096166,0.00012444603664713878,0.9917207155212603,0.547974700520885,0.5676836994619903,0.2830155911444696,0.4672344476236642
Insect,m4.obj,-0.40739542197576345,-0.19127316463455699,0.7471514898246043,-0.3791016321014701,0.6520137920988871,-0.41945663105226083,0.0002087249104936883,0.9717397386071788,0.378974955109618,0.39103229865778,0.12163663458363913,0.2932220153034078
Insect,D00752.obj,-0.14539756472641685,-0.028164901597149464,0.14714998344049027,-0.35930310681216254,0.6125449667228349,-0.3182931950418504,0.00016816753731153396,0.9657639903240482,0.39517724855776604,0.40414005237617734,0.13934762069743692,0.31329590518296446
Insect,m13.obj,-0.39561030623289833,-0.2240232219337876,0.3259948182318673,-0.35460828755041945,0.6770925511103894,-0.21441696205475538,0.0006862489467185453,0.9718310631517662,0.32549330037943497,0.33080292334286776,0.0882285023779418,0.21760754401692706
Insect,D00430.obj,0.21881651581951286,0.48447680532782883,0.2542258114942184,-0.03404604959912044,0.576954087025072,-0.010228132697645338,0.00013835775585384195,0.9833880644663061,0.4453971129799332,0.4439876264442061,0.17916601822774927,0.36641396824756783
Insect,D00814.obj,0.005274998706762174,-0.26045673861678414,-0.2852167761781328,-0.4656243276257819,0.670201979300916,-0.4910097372926692,0.000427995917584054,0.9802678534310914,0.46083151076039014,0.47454053214987546,0.18763027810023247,0.3242330416784395
Insect,m12.obj,-0.29141446475192273,-0.14535559318387567,0.23376732032706696,-0.4261874066704203,0.667713577320494,-0.4027330638758028,0.0001443621693720251,0.9687110732682381,0.4649132806694883,0.46966893260248815,0.18599340412017087,0.3822814120660674
Insect,D00753.obj,-0.06016384865725772,-0.08807682458440326,-0.10939711170007048,-0.29496734193550267,0.5568941775395286,-0.3658557697638048,3.8824263433103124e-05,0.9671402746907845,0.36394896537577803,0.3757071136930315,0.13047510865187376,0.3303408498442736
Insect,m7.obj,-0.18934769797849363,0.388605223202897,2.5097166725872997,0.108377543277956,0.5519110720182063,0.2623528002055399,0.0001169078878415404,0.9786628578283719,0.37268806426723394,0.3771101419955244,0.1179330860474064,0.3116151851406516
Insect,D00989.obj,-0.3165830531530532,0.06602843042996358,2.085225943323598,0.020493464699265496,0.5966230773906331,0.04651072702151823,0.00019301810910181858,0.9709933936217758,0.3111015598612777,0.3161241307520409,0.08798817758003923,0.2508538551732559
Insect,D00786.obj,-0.34734646519198625,-0.15858703638392738,0.4726312090176259,-0.3842574181438483,0.6248326939045952,-0.433137223466887,0.00010677942797930498,0.9978053332159522,0.35729016507189143,0.3683517866216297,0.11219121869629196,0.2929340714959502
Insect,m10.obj,0.02749287836629421,-0.3696476025247534,-0.3103714241673379,-0.5603672720286073,0.773022248569201,-0.6198348014768658,0.0004252480962887435,0.9698369871658301,0.46206143890872736,0.4803952633290111,0.18940160347134835,0.32819791156637024
Insect,D00590.obj,-0.3882709897944667,-0.19372675163796604,0.524543239260353,-0.27030336657367227,0.6503185419399568,-0.30474248572370055,0.0006597790703571997,0.9604286130071682,0.3684477383638332,0.38001123822236127,0.12095847979588681,0.25047085176062206
Insect,D00180.obj,-0.18245552415042054,-0.14710022975234255,-0.059200475871314294,-0.4845452560210804,0.6222268162533953,-0.4744451960135208,8.030955520113661e-06,0.9747742093272009,0.2972217456857373,0.3036572178714015,0.09114956747970462,0.25820154061146344
Insect,m11.obj,-0.2986257263725696,-0.3347514152376515,-0.28747106330724076,-0.3625918617512701,0.65028948454775,-0.2962869875111876,0.007646291992224597,0.9725829583140388,0.3744574128402629,0.3824557866481387,0.1079480775243622,0.1607525880568672
Insect,D00787.obj,-0.6179445185176449,-0.38191944703131336,-0.3103279491331412,-0.5575324047078577,0.6702441035907681,-0.6079687719456092,0.4088953193021698,0.9627277921030735,0.20778976321219658,0.21679792556802235,0.027016788303982513,0.02133317840652037
Insect,m6.obj,0.5565351423657569,1.0121211496928104,0.2460255089259457,-0.1263262060973289,0.6661822455739485,-0.26267279296198787,3.193054060650561e-05,0.9763371631789378,0.49731437124104894,0.5051132196912153,0.23996584926581913,0.4580731397900677
Insect,m2.obj,-0.21925375124719915,-0.014235792942986025,0.4685196314562714,-0.3932723585747459,0.7506613141685261,-0.43304876327295033,0.00011250845805369372,0.9726850979057985,0.43956136189090717,0.44247474251370106,0.15926964661995696,0.3535099623522691
Insect,D00973.obj,-0.2920869079634028,0.07596298879380425,1.737377393216372,0.008771626089802954,0.500532852387259,0.03075377480482277,0.0001615181771789382,0.964606544631652,0.29626398880762717,0.30246973754154777,0.07052207043178231,0.2282905492007564
